timestamp,THROTTLE,BRAKE,ECU_MODE_ID,TORQUE_GAIN,TORQUE_REF_LEFT_MOTOR,TORQUE_REF_RIGHT_MOTOR,LEFT_MOTOR_SPEED,RIGHT_MOTOR_SPEED,REAR_LEFT_WHEEL_SPEED,REAR_RIGHT_WHEEL_SPEED,ACCEL_LONGITUDINAL,ACCEL_LATERAL,ACCEL_NORMAL,VEL_ANGULAR_YAW,VEL_ANGULAR_PITCH,VEL_ANGULAR_ROLL,STACK_1_CELL_1,STACK_1_CELL_2,STACK_1_CELL_3,STACK_1_CELL_4,STACK_2_CELL_1,STACK_2_CELL_2,STACK_2_CELL_3,STACK_2_CELL_4,STACK_3_CELL_1,STACK_3_CELL_2,STACK_3_CELL_3,STACK_3_CELL_4,STACK_4_CELL_1,STACK_4_CELL_2,STACK_4_CELL_3,STACK_4_CELL_4,STACK_5_CELL_1,STACK_5_CELL_2,STACK_5_CELL_3,STACK_5_CELL_4,STACK_6_CELL_1,STACK_6_CELL_2,STACK_6_CELL_3,STACK_6_CELL_4,MAX_VOLTAGE,MIN_VOLTAGE,TOTAL_VOLTAGE,SHUNT_CURRENT,BMS_MODE_ID,BMS_ERROR_ID,AIR_P,AIR_N,t
1765219160002,1000.0,0.0,2.0,25.0,2500.0,2500.0,0.0,0.0,0.0,0.0,-0.023302,0.0057339999999999995,0.991982,-0.7000000000000001,0.49000000000000005,0.0,3.32,3.33,3.32,3.32,3.32,3.32,3.32,3.32,3.34,3.34,3.34,3.34,3.32,3.32,3.32,3.32,3.32,3.33,3.32,3.32,3.33,3.34,3.33,3.33,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,654976
1765219160054,1000.0,0.0,2.0,25.0,2500.0,2500.0,0.0,0.0,0.0,0.0,-0.023302,0.0057339999999999995,0.991982,-0.7000000000000001,0.49000000000000005,0.0,3.32,3.33,3.32,3.32,3.32,3.32,3.32,3.32,3.34,3.34,3.34,3.34,3.32,3.32,3.32,3.32,3.32,3.33,3.32,3.32,3.33,3.34,3.33,3.33,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655028
1765219160071,1000.0,0.0,2.0,25.0,2500.0,2500.0,0.0,0.0,0.0,0.0,-0.023302,0.0057339999999999995,0.991982,-0.7000000000000001,0.7000000000000001,-0.07,3.32,3.33,3.32,3.32,3.32,3.32,3.32,3.32,3.34,3.34,3.34,3.34,3.32,3.32,3.32,3.32,3.32,3.33,3.32,3.32,3.33,3.34,3.33,3.33,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655045
1765219160137,1000.0,0.0,2.0,25.0,2500.0,2500.0,0.0,0.0,0.0,0.0,-0.023302,0.0057339999999999995,0.991982,-0.7000000000000001,0.7000000000000001,-0.07,3.33,3.33,3.33,3.32,3.32,3.32,3.32,3.32,3.34,3.34,3.34,3.34,3.32,3.32,3.32,3.32,3.32,3.33,3.32,3.32,3.33,3.34,3.33,3.33,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655111
1765219160154,1000.0,0.0,2.0,25.0,2500.0,2500.0,0.0,0.0,0.0,0.0,-0.023302,0.0057339999999999995,0.991982,-0.7000000000000001,0.7000000000000001,-0.07,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.32,3.32,3.32,3.32,3.33,3.32,3.32,3.33,3.34,3.33,3.33,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655128
1765219160171,1000.0,0.0,2.0,25.0,2500.0,2500.0,0.0,0.0,0.0,0.0,-0.023302,0.0057339999999999995,0.991982,-0.7000000000000001,0.7000000000000001,-0.07,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.32,3.32,3.32,3.32,3.33,3.32,3.32,3.33,3.34,3.33,3.33,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655145
1765219160188,1000.0,0.0,2.0,25.0,2500.0,2500.0,0.0,0.0,0.0,0.0,-0.023302,0.0057339999999999995,0.991982,-0.7000000000000001,0.7000000000000001,-0.07,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.32,3.33,3.32,3.32,3.33,3.34,3.33,3.33,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655162
1765219160204,1000.0,0.0,2.0,25.0,2500.0,2500.0,0.0,0.0,0.0,0.0,-0.023302,0.0057339999999999995,0.991982,-0.7000000000000001,0.7000000000000001,-0.07,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655178
1765219160237,1000.0,0.0,2.0,25.0,2500.0,2500.0,0.0,0.0,0.0,0.0,-0.023424,0.0037819999999999998,0.99369,-0.7000000000000001,0.7000000000000001,-0.07,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655211
1765219160254,0.0,0.0,2.0,25.0,2500.0,2500.0,0.0,0.0,0.0,0.0,-0.023424,0.0037819999999999998,0.99369,-0.7000000000000001,0.7000000000000001,-0.07,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655228
1765219160270,0.0,0.0,2.0,25.0,2500.0,2500.0,0.0,0.0,0.0,0.0,-0.023424,0.0037819999999999998,0.99369,-0.7000000000000001,0.42000000000000004,0.0,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655244
1765219160304,0.0,0.0,2.0,25.0,2500.0,2500.0,0.0,0.0,0.0,0.0,-0.023424,0.0037819999999999998,0.99369,-0.7000000000000001,0.42000000000000004,0.0,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655278
1765219160320,0.0,0.0,2.0,25.0,2500.0,2500.0,0.0,0.0,0.0,0.0,-0.023424,0.0037819999999999998,0.99369,-0.7000000000000001,0.42000000000000004,0.0,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655294
1765219160336,0.0,0.0,2.0,25.0,2500.0,2500.0,0.0,0.0,0.0,0.0,-0.023424,0.0037819999999999998,0.99369,-0.7000000000000001,0.42000000000000004,0.0,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655310
1765219160353,0.0,0.0,2.0,25.0,2500.0,2500.0,0.0,0.0,0.0,0.0,-0.023424,0.0037819999999999998,0.99369,-0.7000000000000001,0.42000000000000004,0.0,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655327
1765219160369,0.0,0.0,2.0,25.0,2500.0,2500.0,0.0,0.0,0.0,0.0,-0.023424,0.0037819999999999998,0.99369,-0.7000000000000001,0.42000000000000004,0.0,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655343
1765219160387,0.0,0.0,1.0,10.0,2500.0,2500.0,0.0,0.0,0.0,0.0,-0.023424,0.0037819999999999998,0.99369,-0.7000000000000001,0.42000000000000004,0.0,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655361
1765219160420,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023424,0.0037819999999999998,0.99369,-0.7000000000000001,0.42000000000000004,0.0,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655394
1765219160436,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023424,0.0037819999999999998,0.99369,-0.7000000000000001,0.42000000000000004,0.0,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655410
1765219160453,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02318,0.005856,0.9916159999999999,-0.7000000000000001,0.42000000000000004,0.0,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655427
1765219160520,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02318,0.005856,0.9916159999999999,-0.6300000000000001,0.49000000000000005,-0.07,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655494
1765219160620,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023424,0.005978,0.99552,-0.6300000000000001,0.49000000000000005,-0.07,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655594
1765219160637,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023424,0.005978,0.99552,-0.7000000000000001,0.49000000000000005,-0.07,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655611
1765219160671,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023424,0.005978,0.99552,-0.7000000000000001,0.49000000000000005,-0.07,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655645
1765219160686,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023424,0.005978,0.99552,-0.7000000000000001,0.49000000000000005,-0.07,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655660
1765219160703,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023424,0.005978,0.99552,-0.7000000000000001,0.49000000000000005,-0.07,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655677
1765219160719,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023424,0.005978,0.99552,-0.7000000000000001,0.49000000000000005,-0.07,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655693
1765219160739,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023424,0.005978,0.99552,-0.7000000000000001,0.49000000000000005,-0.07,3.33,3.33,3.33,3.32,3.32,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.32,3.34,3.34,3.34,3.34,3.34,3.32,79.8,0.0,1.0,0.0,0.0,1.0,655713
