timestamp,THROTTLE,BRAKE,ECU_MODE_ID,TORQUE_GAIN,TORQUE_REF_LEFT_MOTOR,TORQUE_REF_RIGHT_MOTOR,LEFT_MOTOR_SPEED,RIGHT_MOTOR_SPEED,REAR_LEFT_WHEEL_SPEED,REAR_RIGHT_WHEEL_SPEED,ACCEL_LONGITUDINAL,ACCEL_LATERAL,ACCEL_NORMAL,VEL_ANGULAR_YAW,VEL_ANGULAR_PITCH,VEL_ANGULAR_ROLL,STACK_1_CELL_1,STACK_1_CELL_2,STACK_1_CELL_3,STACK_1_CELL_4,STACK_2_CELL_1,STACK_2_CELL_2,STACK_2_CELL_3,STACK_2_CELL_4,STACK_3_CELL_1,STACK_3_CELL_2,STACK_3_CELL_3,STACK_3_CELL_4,STACK_4_CELL_1,STACK_4_CELL_2,STACK_4_CELL_3,STACK_4_CELL_4,STACK_5_CELL_1,STACK_5_CELL_2,STACK_5_CELL_3,STACK_5_CELL_4,STACK_6_CELL_1,STACK_6_CELL_2,STACK_6_CELL_3,STACK_6_CELL_4,MAX_VOLTAGE,MIN_VOLTAGE,TOTAL_VOLTAGE,SHUNT_CURRENT,BMS_MODE_ID,BMS_ERROR_ID,AIR_P,AIR_N,t
1765222740005,0.0,0.0,0.0,0.0,0.0,0.0,33.60615137142858,33.67239214285714,33.60615137142858,33.67239214285714,-0.142252,-0.169458,0.984296,-23.87,1.12,0.49000000000000005,3.31,3.32,3.31,3.29,3.29,3.3,3.29,3.32,3.31,3.32,3.32,3.31,3.28,3.3,3.29,3.3,3.31,3.32,3.31,3.31,3.32,3.32,3.32,3.31,3.32,3.29,79.3,-45.0,1.0,2.0,0.0,0.0,4234979
1765222740022,0.0,0.0,0.0,0.0,0.0,0.0,33.60615137142858,33.67239214285714,0.0,0.0,-0.142252,-0.169458,0.984296,-23.87,1.12,0.49000000000000005,3.31,3.32,3.31,3.29,3.29,3.3,3.29,3.32,3.31,3.32,3.32,3.31,3.28,3.3,3.29,3.3,3.31,3.32,3.31,3.31,3.32,3.32,3.32,3.31,3.32,3.29,79.3,-45.0,1.0,2.0,0.0,0.0,4234996
1765222740055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.67239214285714,0.0,0.0,-0.142252,-0.169458,0.984296,-23.87,1.12,0.49000000000000005,3.31,3.32,3.31,3.29,3.29,3.3,3.29,3.32,3.31,3.32,3.32,3.31,3.28,3.3,3.29,3.3,3.31,3.32,3.31,3.31,3.32,3.32,3.32,3.31,3.32,3.29,79.3,-45.0,1.0,2.0,0.0,0.0,4235029
1765222740089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.67239214285714,0.0,0.0,-0.142252,-0.169458,0.984296,-23.87,1.12,0.49000000000000005,3.32,3.33,3.33,3.31,3.29,3.3,3.29,3.32,3.31,3.32,3.32,3.31,3.28,3.3,3.29,3.3,3.31,3.32,3.31,3.31,3.32,3.32,3.32,3.31,3.32,3.29,79.3,-45.0,1.0,2.0,0.0,0.0,4235063
1765222740122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.142252,-0.169458,0.984296,-23.87,1.12,0.49000000000000005,3.32,3.33,3.33,3.31,3.3,3.31,3.3,3.31,3.31,3.32,3.32,3.31,3.28,3.3,3.29,3.3,3.31,3.32,3.31,3.31,3.32,3.32,3.32,3.31,3.32,3.29,79.3,-45.0,1.0,2.0,0.0,0.0,4235096
1765222740139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.142252,-0.169458,0.984296,-23.87,1.12,0.49000000000000005,3.32,3.33,3.33,3.31,3.3,3.31,3.3,3.31,3.33,3.33,3.33,3.32,3.28,3.3,3.29,3.3,3.31,3.32,3.31,3.31,3.32,3.32,3.32,3.31,3.32,3.29,79.3,-45.0,1.0,2.0,0.0,0.0,4235113
1765222740155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.142252,-0.169458,0.984296,-23.87,1.12,0.49000000000000005,3.32,3.33,3.33,3.31,3.3,3.31,3.3,3.31,3.33,3.33,3.33,3.32,3.29,3.31,3.3,3.3,3.31,3.32,3.31,3.31,3.32,3.32,3.32,3.31,3.32,3.29,79.3,-45.0,1.0,2.0,0.0,0.0,4235129
1765222740189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.142252,-0.169458,0.984296,-23.87,1.12,0.49000000000000005,3.32,3.33,3.33,3.31,3.3,3.31,3.3,3.31,3.33,3.33,3.33,3.32,3.29,3.31,3.3,3.3,3.32,3.33,3.33,3.32,3.32,3.32,3.32,3.31,3.32,3.29,79.3,-45.0,1.0,2.0,0.0,0.0,4235163
1765222740222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.142252,-0.169458,0.984296,-23.87,1.12,0.49000000000000005,3.32,3.33,3.33,3.31,3.3,3.31,3.3,3.31,3.33,3.33,3.33,3.32,3.29,3.31,3.3,3.3,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.33,3.32,3.29,79.3,-45.0,1.0,2.0,0.0,0.0,4235196
1765222740239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026108,0.015006,0.9916159999999999,-23.87,1.12,0.49000000000000005,3.32,3.33,3.33,3.31,3.3,3.31,3.3,3.31,3.33,3.33,3.33,3.32,3.29,3.31,3.3,3.3,3.32,3.33,3.33,3.32,3.33,3.33,3.33,3.33,3.32,3.29,79.3,-45.0,1.0,2.0,0.0,0.0,4235213
